IP,Threat Level
198.107.3.151,0
44.219.4.246,0
195.28.18.83,0
129.236.83.215,0
162.197.52.147,0
186.183.119.52,0
108.95.173.171,0
138.6.101.103,0
104.137.122.104,0
6.170.92.184,0
129.192.14.167,0
181.191.64.51,0
28.212.213.62,0
127.58.132.185,0
207.65.40.234,0
134.245.126.48,0
241.214.246.168,0
158.220.48.193,0
25.171.95.216,0
149.221.214.133,0
193.77.94.130,0
35.166.229.63,0
65.104.14.204,0
244.159.160.55,0
5.124.80.178,0
113.210.133.57,0
26.16.44.122,0
189.165.182.99,0
226.149.173.20,0
213.73.178.12,0
171.38.95.79,0
145.40.183.224,0
121.76.186.81,0
2.186.48.128,0
13.33.188.226,0
218.65.245.242,0
70.218.58.173,0
16.175.121.189,0
250.83.135.36,0
221.243.131.25,0
109.40.146.159,0
202.65.153.97,0
36.249.3.38,0
23.108.172.111,0
19.91.198.2,0
110.51.143.248,0
214.177.165.53,0
159.14.102.245,0
103.172.222.145,0
130.4.61.83,0
102.191.112.21,0
231.154.93.18,0
171.171.223.132,0
208.132.209.24,0
64.112.113.162,0
49.45.224.169,0
208.124.154.34,0
236.246.236.156,0
182.90.160.229,0
221.238.1.185,0
199.147.95.195,0
115.207.238.169,0
138.190.86.35,0
63.27.128.133,0
133.64.239.254,0
167.40.180.83,0
178.246.200.198,0
238.3.164.241,0
142.14.180.22,0
53.128.30.36,0
58.113.129.158,0
122.3.251.50,0
255.220.235.109,0
176.33.248.196,0
109.129.95.203,0
27.16.30.72,0
183.239.242.101,0
17.91.7.181,0
210.23.108.18,0
206.14.246.156,0
237.139.129.249,0
195.243.91.133,0
43.126.90.86,0
164.227.103.108,0
4.192.192.204,0
217.152.140.46,0
100.183.25.127,0
19.250.196.46,0
196.22.12.6,0
142.165.212.117,0
55.217.208.170,0
216.151.204.68,0
18.68.47.216,0
123.155.39.195,0
227.105.231.217,0
30.66.38.117,0
56.43.25.247,0
88.248.46.170,0
209.13.34.66,0
108.118.114.236,0
